wavelength,flux,e_flux
7563.714398,4.777846773e-17,4.777846773e-17
7560.422324,5.227221963e-17,5.227221963e-17
7557.130598,5.217687075e-17,5.217687075e-17
7553.839218,6.596389785e-17,6.596389785e-17
7550.548184,5.646601776e-17,5.646601776e-17
7547.257496,4.775808331e-17,4.775808331e-17
7543.967152,6.186672117e-17,6.186672117e-17
7540.677153,5.60778628e-17,5.60778628e-17
7537.387497,6.431733441e-17,6.431733441e-17
7534.098185,4.049101881e-17,4.049101881e-17
7530.809215,5.83252834e-17,5.83252834e-17
7527.520587,5.858333703e-17,5.858333703e-17
7524.2323,4.758165985e-17,4.758165985e-17
7520.944354,5.417041859e-17,5.417041859e-17
7517.656748,4.546608495e-17,4.546608495e-17
7514.369481,5.415120685e-17,5.415120685e-17
7511.082554,6.118261905e-17,6.118261905e-17
7507.795964,6.190180923e-17,6.190180923e-17
7504.509713,6.490871794e-17,6.490871794e-17
7501.223799,6.081966795e-17,6.081966795e-17
7497.938221,6.43286735e-17,6.43286735e-17
7494.652979,6.71107096e-17,6.71107096e-17
7491.368073,5.410423738e-17,5.410423738e-17
7488.083502,4.699194333e-17,4.699194333e-17
7484.799265,5.511650182e-17,5.511650182e-17
7481.515362,4.661789722e-17,4.661789722e-17
7478.231792,3.6737902e-17,3.6737902e-17
7474.948555,4.838451177e-17,4.838451177e-17
7471.66565,5.528016631e-17,5.528016631e-17
7468.383076,5.422410379e-17,5.422410379e-17
7465.100833,5.780878153e-17,5.780878153e-17
7461.818921,6.156262332e-17,6.156262332e-17
7458.537339,6.267468493e-17,6.267468493e-17
7455.256086,5.610302486e-17,5.610302486e-17
7451.975162,5.867004457e-17,5.867004457e-17
7448.694566,6.180125955e-17,6.180125955e-17
7445.414298,6.106076023e-17,6.106076023e-17
7442.134357,5.456873069e-17,5.456873069e-17
7438.854743,5.09650995e-17,5.09650995e-17
7435.575455,5.01025217e-17,5.01025217e-17
7432.296492,4.746220244e-17,4.746220244e-17
7429.017855,5.677341933e-17,5.677341933e-17
7425.739542,6.330641228e-17,6.330641228e-17
7422.461553,4.599924361e-17,4.599924361e-17
7419.183888,6.031086251e-17,6.031086251e-17
7415.906545,5.705677857e-17,5.705677857e-17
7412.629525,5.450386576e-17,5.450386576e-17
7409.352827,5.918087538e-17,5.918087538e-17
7406.076451,5.420517771e-17,5.420517771e-17
7402.800395,6.470275114e-17,6.470275114e-17
7399.52466,6.205993724e-17,6.205993724e-17
7396.249245,6.201288391e-17,6.201288391e-17
7392.974149,5.712379346e-17,5.712379346e-17
7389.699373,4.871871295e-17,4.871871295e-17
7386.424914,5.748313848e-17,5.748313848e-17
7383.150774,6.597863985e-17,6.597863985e-17
7379.876951,5.988457771e-17,5.988457771e-17
7376.603445,6.475608577e-17,6.475608577e-17
7373.330256,5.414309488e-17,5.414309488e-17
7370.057382,6.148204337e-17,6.148204337e-17
7366.784824,7.154645142e-17,7.154645142e-17
7363.512581,4.954274548e-17,4.954274548e-17
7360.240653,4.286029387e-17,4.286029387e-17
7356.969039,4.832951465e-17,4.832951465e-17
7353.697738,5.358802782e-17,5.358802782e-17
7350.42675,5.170572405e-17,5.170572405e-17
7347.156075,4.726173331e-17,4.726173331e-17
7343.885713,5.531850464e-17,5.531850464e-17
7340.615662,6.552631982e-17,6.552631982e-17
7337.345922,5.766652135e-17,5.766652135e-17
7334.076493,6.222467429e-17,6.222467429e-17
7330.807375,5.330897472e-17,5.330897472e-17
7327.538566,4.405517947e-17,4.405517947e-17
7324.270067,5.471589117e-17,5.471589117e-17
7321.001877,5.496105483e-17,5.496105483e-17
7317.733996,5.746399886e-17,5.746399886e-17
7314.466422,4.983680708e-17,4.983680708e-17
7311.199157,4.737857155e-17,4.737857155e-17
7307.932198,5.159240474e-17,5.159240474e-17
7304.665547,6.030878453e-17,6.030878453e-17
7301.399201,5.199294543e-17,5.199294543e-17
7298.133162,5.899040405e-17,5.899040405e-17
7294.867428,5.658404454e-17,5.658404454e-17
7291.601999,6.705455844e-17,6.705455844e-17
7288.336875,6.767537716e-17,6.767537716e-17
7285.072055,5.110252776e-17,5.110252776e-17
7281.807539,4.48222829e-17,4.48222829e-17
7278.543326,5.835502752e-17,5.835502752e-17
7275.279416,6.246900577e-17,6.246900577e-17
7272.015809,4.836745246e-17,4.836745246e-17
7268.752504,6.500122323e-17,6.500122323e-17
7265.4895,5.641401736e-17,5.641401736e-17
7262.226798,5.645603433e-17,5.645603433e-17
7258.964397,5.801347029e-17,5.801347029e-17
7255.702296,6.362127814e-17,6.362127814e-17
7252.440496,6.766261399e-17,6.766261399e-17
7249.178995,6.336938926e-17,6.336938926e-17
7245.917793,6.126781771e-17,6.126781771e-17
7242.65689,5.310270352e-17,5.310270352e-17
7239.396286,5.019228736e-17,5.019228736e-17
7236.13598,5.429323322e-17,5.429323322e-17
7232.875972,5.641230236e-17,5.641230236e-17
7229.616261,6.33101625e-17,6.33101625e-17
7226.356847,6.333446236e-17,6.333446236e-17
7223.09773,5.552464437e-17,5.552464437e-17
7219.838909,6.002777883e-17,6.002777883e-17
7216.580384,6.001978693e-17,6.001978693e-17
7213.322154,6.004874385e-17,6.004874385e-17
7210.064219,5.509186295e-17,5.509186295e-17
7206.806579,4.746393114e-17,4.746393114e-17
7203.549234,5.029962665e-17,5.029962665e-17
7200.292182,4.33188816e-17,4.33188816e-17
7197.035424,5.817460858e-17,5.817460858e-17
7193.77896,5.856016428e-17,5.856016428e-17
7190.522788,5.797483571e-17,5.797483571e-17
7187.266909,5.704369639e-17,5.704369639e-17
7184.011322,6.554983324e-17,6.554983324e-17
7180.756027,7.043621928e-17,7.043621928e-17
7177.501024,6.348959886e-17,6.348959886e-17
7174.246312,6.156704149e-17,6.156704149e-17
7170.99189,6.327468754e-17,6.327468754e-17
7167.737759,5.849245753e-17,5.849245753e-17
7164.483919,6.942905712e-17,6.942905712e-17
7161.230368,6.583778868e-17,6.583778868e-17
7157.977106,7.149476699e-17,7.149476699e-17
7154.724134,5.285440663e-17,5.285440663e-17
7151.471451,6.171826805e-17,6.171826805e-17
7148.219056,7.821712096e-17,7.821712096e-17
7144.966949,6.409896544e-17,6.409896544e-17
7141.71513,6.753373343e-17,6.753373343e-17
7138.463599,6.713235003e-17,6.713235003e-17
7135.212355,5.861674913e-17,5.861674913e-17
7131.961398,5.589222997e-17,5.589222997e-17
7128.710727,6.021672703e-17,6.021672703e-17
7125.460343,6.291274026e-17,6.291274026e-17
7122.210245,7.706328225e-17,7.706328225e-17
7118.960432,6.485673174e-17,6.485673174e-17
7115.710905,8.078894687e-17,8.078894687e-17
7112.461663,7.532744324e-17,7.532744324e-17
7109.212706,7.226751575e-17,7.226751575e-17
7105.964033,7.13763015e-17,7.13763015e-17
7102.715644,6.733758223e-17,6.733758223e-17
7099.467539,7.219279176e-17,7.219279176e-17
7096.219718,7.391371647e-17,7.391371647e-17
7092.97218,6.788336791e-17,6.788336791e-17
7089.724926,7.96667088e-17,7.96667088e-17
7086.477954,7.337462147e-17,7.337462147e-17
7083.231264,7.400670329e-17,7.400670329e-17
7079.984857,7.430938806e-17,7.430938806e-17
7076.738731,8.07456469e-17,8.07456469e-17
7073.492887,7.160168037e-17,7.160168037e-17
7070.247325,8.392443751e-17,8.392443751e-17
7067.002044,6.91286802e-17,6.91286802e-17
7063.757043,7.210554378e-17,7.210554378e-17
7060.512323,7.852787208e-17,7.852787208e-17
7057.267884,6.905871756e-17,6.905871756e-17
7054.023724,8.072769501e-17,8.072769501e-17
7050.779844,6.955972948e-17,6.955972948e-17
7047.536244,8.124078485e-17,8.124078485e-17
7044.292923,7.580447494e-17,7.580447494e-17
7041.049882,6.769646698e-17,6.769646698e-17
7037.807119,7.393699665e-17,7.393699665e-17
7034.564634,7.48327225e-17,7.48327225e-17
7031.322428,6.869276468e-17,6.869276468e-17
7028.0805,6.365490626e-17,6.365490626e-17
7024.83885,6.953095814e-17,6.953095814e-17
7021.597477,7.66860733e-17,7.66860733e-17
7018.356382,7.620251677e-17,7.620251677e-17
7015.115564,7.565277191e-17,7.565277191e-17
7011.875023,8.306957725e-17,8.306957725e-17
7008.634758,7.623384345e-17,7.623384345e-17
7005.39477,7.242298673e-17,7.242298673e-17
7002.155058,6.520146204e-17,6.520146204e-17
6998.915623,7.855615078e-17,7.855615078e-17
6995.676463,7.544982415e-17,7.544982415e-17
6992.437578,7.896830176e-17,7.896830176e-17
6989.198969,7.274602579e-17,7.274602579e-17
6985.960635,7.478325613e-17,7.478325613e-17
6982.722576,7.681591187e-17,7.681591187e-17
6979.484792,8.864646579e-17,8.864646579e-17
6976.247283,7.698237295e-17,7.698237295e-17
6973.010047,7.228803751e-17,7.228803751e-17
6969.773086,8.814654065e-17,8.814654065e-17
6966.536399,7.464441065e-17,7.464441065e-17
6963.299986,8.228499308e-17,8.228499308e-17
6960.063846,8.383378494e-17,8.383378494e-17
6956.82798,8.124217986e-17,8.124217986e-17
6953.592386,8.484876245e-17,8.484876245e-17
6950.357066,9.019204595e-17,9.019204595e-17
6947.122019,8.757931284e-17,8.757931284e-17
6943.887244,8.26632442e-17,8.26632442e-17
6940.652742,8.368040941e-17,8.368040941e-17
6937.418512,8.642278899e-17,8.642278899e-17
6934.184554,9.048874681e-17,9.048874681e-17
6930.950868,7.096272701e-17,7.096272701e-17
6927.717454,9.209415823e-17,9.209415823e-17
6924.484311,8.548124866e-17,8.548124866e-17
6921.25144,9.184363053e-17,9.184363053e-17
6918.018841,9.389093432e-17,9.389093432e-17
6914.786512,9.410629091e-17,9.410629091e-17
6911.554454,7.313615235e-17,7.313615235e-17
6908.322668,8.514953912e-17,8.514953912e-17
6905.091152,9.110406298e-17,9.110406298e-17
6901.859906,7.991093444e-17,7.991093444e-17
6898.628931,7.97012821e-17,7.97012821e-17
6895.398226,9.01509167e-17,9.01509167e-17
6892.167791,7.468515995e-17,7.468515995e-17
6888.937626,8.594205732e-17,8.594205732e-17
6885.707731,8.611829095e-17,8.611829095e-17
6882.478105,7.397494308e-17,7.397494308e-17
6879.248749,7.566416998e-17,7.566416998e-17
6876.019663,6.797928821e-17,6.797928821e-17
6872.790846,8.836977949e-17,8.836977949e-17
6869.562298,8.003234395e-17,8.003234395e-17
6866.334019,1.0818813e-16,1.0818813e-16
6863.106009,9.75846935e-17,9.75846935e-17
6859.878267,9.526006295e-17,9.526006295e-17
6856.650795,1.027544264e-16,1.027544264e-16
6853.423591,9.161981037e-17,9.161981037e-17
6850.196655,8.830902849e-17,8.830902849e-17
6846.969988,1.107902765e-16,1.107902765e-16
6843.743589,1.009900168e-16,1.009900168e-16
6840.517458,1.031871081e-16,1.031871081e-16
6837.291595,1.07874867e-16,1.07874867e-16
6834.066,9.803727373e-17,9.803727373e-17
6830.840673,1.039975206e-16,1.039975206e-16
6827.615613,1.038166248e-16,1.038166248e-16
6824.390822,1.020953445e-16,1.020953445e-16
6821.166297,9.481909155e-17,9.481909155e-17
6817.942041,1.003415118e-16,1.003415118e-16
6814.718051,1.096085343e-16,1.096085343e-16
6811.494329,1.111652327e-16,1.111652327e-16
6808.270874,1.2804256e-16,1.2804256e-16
6805.047686,1.072526183e-16,1.072526183e-16
6801.824766,8.940661235e-17,8.940661235e-17
6798.602112,9.994577448e-17,9.994577448e-17
6795.379725,9.397088453e-17,9.397088453e-17
6792.157605,1.160233433e-16,1.160233433e-16
6788.935752,1.147660002e-16,1.147660002e-16
6785.714165,1.10691162e-16,1.10691162e-16
6782.492845,1.227284773e-16,1.227284773e-16
6779.271792,1.092165487e-16,1.092165487e-16
6776.051005,1.026550976e-16,1.026550976e-16
6772.830485,1.13594214e-16,1.13594214e-16
6769.610231,1.03961387e-16,1.03961387e-16
6766.390243,1.078747028e-16,1.078747028e-16
6763.170522,1.055759111e-16,1.055759111e-16
6759.951067,1.113459181e-16,1.113459181e-16
6756.731878,1.195273806e-16,1.195273806e-16
6753.512955,1.040293622e-16,1.040293622e-16
6750.294299,1.030969989e-16,1.030969989e-16
6747.075908,1.150797448e-16,1.150797448e-16
6743.857784,1.313853161e-16,1.313853161e-16
6740.639925,1.152082997e-16,1.152082997e-16
6737.422333,1.099967126e-16,1.099967126e-16
